Date,Speed,Vehicle,Obj ID
Fri Jul 24 19:28:24 2020,27.5,car,758
Fri Jul 24 19:28:27 2020,22.0,car,770
Fri Jul 24 19:28:28 2020,22.0,car,773
Fri Jul 24 19:28:30 2020,23.5,car,775
Fri Jul 24 19:28:38 2020,25.0,car,787
Fri Jul 24 19:28:42 2020,26.0,car,798
Fri Jul 24 19:28:43 2020,19.5,car,799
Fri Jul 24 19:28:45 2020,23.5,car,801
Fri Jul 24 19:28:46 2020,30.0,car,804
Fri Jul 24 19:28:48 2020,17.8,car,803
Fri Jul 24 19:28:50 2020,25.0,car,810
Fri Jul 24 19:28:52 2020,20.0,car,816
Fri Jul 24 19:28:53 2020,23.5,car,818
Fri Jul 24 19:28:55 2020,21.0,car,823
Fri Jul 24 19:29:01 2020,32.5,car,828
Fri Jul 24 19:29:02 2020,32.5,car,833
Fri Jul 24 19:29:03 2020,35.0,car,841
Fri Jul 24 19:29:04 2020,35.0,car,843
Fri Jul 24 19:29:06 2020,35.0,car,846
Fri Jul 24 19:29:08 2020,23.5,car,844
Fri Jul 24 19:29:12 2020,27.5,car,856
Fri Jul 24 19:29:14 2020,16.0,car,859
Fri Jul 24 19:29:15 2020,18.5,car,864
Fri Jul 24 19:29:18 2020,19.3,truck,871
Fri Jul 24 19:29:19 2020,27.5,car,873
Fri Jul 24 19:29:21 2020,27.0,truck,878
Fri Jul 24 19:29:23 2020,23.5,car,886
Fri Jul 24 19:29:29 2020,27.5,car,894
Fri Jul 24 19:29:30 2020,27.5,car,898
Fri Jul 24 19:29:32 2020,30.0,car,904
Fri Jul 24 19:29:34 2020,23.5,car,907
Fri Jul 24 19:29:36 2020,23.5,car,908
Fri Jul 24 19:29:38 2020,27.5,car,910
Fri Jul 24 19:29:39 2020,27.5,car,913
Fri Jul 24 19:29:43 2020,25.0,car,923
Fri Jul 24 19:29:45 2020,23.5,car,932
Fri Jul 24 19:29:48 2020,17.0,car,935
Fri Jul 24 19:29:49 2020,21.0,car,937
Fri Jul 24 19:29:51 2020,21.0,car,941
Fri Jul 24 19:29:58 2020,31.0,car,950
Fri Jul 24 19:30:03 2020,26.0,car,958
Fri Jul 24 19:30:05 2020,26.0,car,960
Fri Jul 24 19:30:06 2020,27.5,car,961
Fri Jul 24 19:30:08 2020,32.5,car,965
Fri Jul 24 19:30:12 2020,18.5,car,969
Fri Jul 24 19:30:13 2020,23.5,car,973
Fri Jul 24 19:30:19 2020,15.8,bus,981
Fri Jul 24 19:30:20 2020,27.5,car,985
Fri Jul 24 19:30:25 2020,22.5,car,999
Fri Jul 24 19:30:26 2020,26.0,car,1001
Fri Jul 24 19:30:27 2020,22.5,car,1004
Fri Jul 24 19:30:31 2020,35.0,car,1010
Fri Jul 24 19:30:32 2020,21.0,car,1012
Fri Jul 24 19:30:33 2020,27.5,car,1015
Fri Jul 24 19:30:49 2020,30.0,car,1029
Fri Jul 24 19:30:51 2020,30.0,car,1034
Fri Jul 24 19:30:53 2020,40.0,car,1037
Fri Jul 24 19:30:56 2020,30.0,car,1045
Fri Jul 24 19:30:57 2020,26.0,car,1047
Fri Jul 24 19:31:03 2020,27.5,car,1055
Fri Jul 24 19:31:09 2020,22.0,car,1063
Fri Jul 24 19:31:10 2020,25.0,car,1066
Fri Jul 24 19:31:17 2020,20.0,car,1073
Fri Jul 24 19:31:19 2020,27.5,car,1076
Fri Jul 24 19:31:21 2020,25.0,car,1082
Fri Jul 24 19:31:25 2020,30.0,car,1086
Fri Jul 24 19:31:27 2020,30.0,car,1090
Fri Jul 24 19:31:39 2020,30.0,car,1109
Fri Jul 24 19:31:40 2020,25.0,car,1106
Fri Jul 24 19:31:42 2020,21.0,car,1119
Fri Jul 24 19:31:43 2020,25.0,car,1121
Fri Jul 24 19:31:45 2020,23.5,car,1127
Fri Jul 24 19:31:46 2020,21.0,car,1128
Fri Jul 24 19:31:48 2020,27.5,car,1129
Fri Jul 24 19:31:49 2020,30.0,car,1133
Fri Jul 24 19:31:51 2020,26.0,car,1136
Fri Jul 24 19:31:54 2020,31.0,car,1143
Fri Jul 24 19:31:55 2020,28.5,car,1144
Fri Jul 24 19:31:57 2020,35.0,car,1146
Fri Jul 24 19:31:58 2020,32.5,car,1148
Fri Jul 24 19:32:01 2020,30.0,car,1150
Fri Jul 24 19:32:10 2020,15.7,car,1170
,,,
,,,
,Count,Vd[km/hr],Vmax[km/hr],V85[km/hr]
Two-wheelers,2,26.0,30.0,30.0
Car,241,25.523651452282156,40.0,30.0
Bus,4,18.2,22.0,22.0
Truck,6,19.599999999999998,27.0,27.0
,,,
Total,253,22.330912863070537,40.0,27.25
